CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Revolving_Bal
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,12691.0,777
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,8256.0,864
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,3418.0,0
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3313.0,2517
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,4716.0,0
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,4010.0,1247
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,34516.0,2264
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,29081.0,1396
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,22352.0,2517
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,11656.0,1677
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,6748.0,1467
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,9095.0,1587
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,11751.0,0
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,8547.0,1666
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,2436.0,680
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,4234.0,972
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,30367.0,2362
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,13535.0,1291
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,3193.0,2517
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,14470.0,1157
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,20979.0,1800
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,1438.3,0
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4470.0,680
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,2492.0,1560
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,12217.0,0
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,7768.0,1669
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,14784.0,1374
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,10215.0,1010
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,34,10100.0,0
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,4785.0,1362
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,33,2753.0,1811
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2451.0,1690
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,8923.0,2517
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,2650.0,1490
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,12555.0,1696
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,3520.0,1914
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,3035.0,2298
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,15433.0,0
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,49,3672.0,886
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,56,7882.0,605
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,32426.0,578
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,44,6205.0,2204
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,17304.0,2517
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,3906.0,0
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,28,9830.0,2055
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,34516.0,0
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,2283.0,1430
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,2548.0,2020
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,19458.0,1435
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,4745.0,1227
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,41,2622.0,1549
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,1438.3,808
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3171.0,2179
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,36,19763.0,2517
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,15769.0,0
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,36,3298.0,2200
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2802.0,2363
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4458.0,1880
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,35,6273.0,978
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,3336.0,1753
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,47,3436.0,2016
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,34516.0,0
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5926.0,1251
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,23957.0,2102
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,14734.0,1634
788979258,Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,34516.0,1515
807986133,Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,6584.0,1817
788730933,Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,2084.0,1468
711314058,Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,1687.0,1107
717975333,Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,25300.0,1330
715971108,Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,34516.0,1763
720096558,Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,2216.0,1034
719580033,Existing Customer,54,M,1,Graduate,Unknown,$60K - $80K,Blue,43,2910.0,2030
820582308,Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,22913.0,1528
789973308,Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,24312.0,1932
712876233,Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5272.0,1515
804595158,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,7000.0,2517
714826758,Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,7038.0,1801
779058108,Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,2536.0,1823
710790258,Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,28904.0,1899
715623483,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,8567.0,1695
715156383,Existing Customer,44,M,1,Unknown,Unknown,$120K +,Blue,36,34516.0,1533
711013983,Attrited Customer,55,F,4,Unknown,Married,$40K - $60K,Blue,45,2158.0,0
755420433,Existing Customer,59,F,1,Graduate,Married,Unknown,Blue,52,10133.0,1417
794543958,Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,34516.0,1219
716396358,Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,3085.0,1910
715398033,Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,19040.0,2056
711743883,Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,4026.0,0
719720058,Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,12756.0,837
778992108,Existing Customer,57,M,2,Unknown,Married,$120K +,Blue,45,5266.0,0
717539808,Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,9930.0,0
714070758,Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,31302.0,1953
714107958,Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,6576.0,0
789140283,Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,2664.0,2037
715550508,Existing Customer,45,F,3,Unknown,Married,Unknown,Blue,28,2535.0,2440
719712633,Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,1709.0,895
772629333,Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,3454.0,1200
720336708,Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,3789.0,1706
802013583,Existing Customer,56,M,3,College,Married,$120K +,Blue,50,9689.0,2250
711887583,Attrited Customer,47,M,2,Unknown,Married,$80K - $120K,Blue,37,5449.0,1628
714778833,Existing Customer,49,F,3,College,Single,Unknown,Blue,43,23032.0,1960
713843283,Existing Customer,41,F,3,Unknown,Married,Unknown,Silver,34,34516.0,2053
779155158,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,2940.0,1264
721091583,Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3031.0,1879
713572683,Existing Customer,44,M,3,High School,Unknown,$60K - $80K,Blue,25,1862.0,0
716657058,Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,8358.0,926
779509983,Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,34516.0,931
717929133,Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,14450.0,2440
808284783,Existing Customer,62,F,1,Unknown,Married,Less than $40K,Blue,56,1438.3,0
708476808,Existing Customer,54,M,4,Unknown,Divorced,$120K +,Blue,36,33791.0,1960
710916408,Existing Customer,57,M,4,Graduate,Married,$60K - $80K,Blue,39,8466.0,1886
708492558,Existing Customer,42,M,3,Unknown,Married,$60K - $80K,Blue,36,15088.0,865
799825758,Existing Customer,42,M,4,High School,Divorced,$60K - $80K,Blue,36,3263.0,1674
718619883,Existing Customer,54,F,0,Uneducated,Married,Less than $40K,Blue,36,1494.0,706
711844758,Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Blue,35,13551.0,1294
714798783,Existing Customer,49,M,1,Graduate,Single,$80K - $120K,Blue,36,18886.0,895
826762908,Existing Customer,52,M,3,High School,Unknown,$80K - $120K,Blue,48,11976.0,1273
771894558,Existing Customer,50,M,3,High School,Single,$80K - $120K,Blue,39,9964.0,1559
721074183,Existing Customer,49,M,1,Doctorate,Married,$60K - $80K,Blue,36,24159.0,1196
715259583,Existing Customer,53,F,2,High School,Married,Less than $40K,Blue,44,5362.0,1901
718414008,Existing Customer,50,M,2,Graduate,Single,$120K +,Blue,36,34516.0,1023
719666283,Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue,36,3174.0,1951
714877233,Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue,47,12262.0,1836
785387883,Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue,41,3788.0,1540
771075258,Existing Customer,55,M,2,College,Single,$120K +,Silver,42,34516.0,1527
711318033,Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue,36,2926.0,0
783554958,Existing Customer,58,M,4,Graduate,Single,$120K +,Blue,52,32090.0,0
720201033,Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue,41,11669.0,2227
718039683,Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue,45,13532.0,1300
710806083,Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver,36,11888.0,2090
714752208,Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue,36,2393.0,1985
822063408,Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue,39,6111.0,2517
714490308,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,46,19270.0,1662
713356833,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,43,3710.0,2517
711402333,Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue,37,3235.0,797
708296883,Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue,38,11749.0,788
719154483,Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue,36,7753.0,2100
717721458,Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue,40,10408.0,1186
711112683,Existing Customer,63,F,1,College,Married,Unknown,Blue,36,3967.0,1568
715674483,Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue,27,6205.0,2517
789322833,Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue,38,8025.0,0
789968058,Existing Customer,51,M,1,Unknown,Single,$120K +,Blue,42,9036.0,2327
709919283,Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue,34,14926.0,2517
718744008,Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue,36,6335.0,1128
767712558,Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue,53,14979.0,0
712950783,Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue,38,2732.0,0
716104983,Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue,32,2250.0,2117
818839983,Existing Customer,55,M,2,Graduate,Married,$120K +,Blue,50,10916.0,1536
772288758,Existing Customer,47,F,4,Graduate,Married,Unknown,Blue,36,5349.0,1228
